,Country,Data as of,Case definition,Number of cases Cumulative,Number of cases in past 21 days,Number of deaths Cumulative
174,Guinea,2015-02-01, Probable,347,Not reported,347
175,Guinea,2015-02-01, Suspected,20,Not reported,Data not available
176,Guinea,2015-02-02, Confirmed,2621,,1600
177,Guinea,2015-02-02, Probable,347,,347
178,Guinea,2015-02-02, Suspected,18,,Not available
179,Guinea,2015-02-02, Total,2986,,1947
180,Guinea,2015-02-03, Total,2988,,1957
181,Guinea,2015-02-03, Suspected,11,,Not available
182,Guinea,2015-02-03, Probable,349,,349
183,Guinea,2015-02-03, Confirmed,2628,,1608
184,Guinea,2015-02-07, Total,3042,,1990
185,Guinea,2015-02-07, Suspected,21,,Not available
186,Guinea,2015-02-07, Confirmed,2671,,1640
187,Guinea,2015-02-07, Probable,350,,350
188,Guinea,2015-02-08, Total,3044,,1995
189,Guinea,2015-02-08, Suspected,18,,Not available
190,Guinea,2015-02-08, Probable,352,,352
191,Guinea,2015-02-08, Confirmed,2674,,1643
192,Guinea,2015-02-08, Total,3044,134,1995
193,Guinea,2015-02-08, Suspected,18,Not reported,Data not available. 
194,Guinea,2015-02-08, Probable,352,Not reported,352
195,Guinea,2015-02-08, Confirmed,2674,134,1643
196,Guinea,2015-02-09, Probable,367,,367
197,Guinea,2015-02-09, Total,3068,,2018
198,Guinea,2015-02-09, Suspected,16,,Not available
199,Guinea,2015-02-09, Confirmed,2685,,1651
200,Guinea,2015-02-10, Probable,373,,373
201,Guinea,2015-02-10, Suspected,15,,Not available
202,Guinea,2015-02-10, Total,3081,,2032
203,Guinea,2015-02-10, Confirmed,2693,,1659
204,Guinea,2015-02-14, Confirmed,2720,,1678
205,Guinea,2015-02-14, Total,3101,,2052
206,Guinea,2015-02-14, Suspected,7,,Not available
207,Guinea,2015-02-14, Probable,374,,374
208,Guinea,2015-02-15, Suspected,7,Not reported,Data not available.
209,Guinea,2015-02-15, Confirmed,2727,156,1683
210,Guinea,2015-02-15, Probable,374,,374
211,Guinea,2015-02-15, Suspected,7,,Not available
212,Guinea,2015-02-15, Total,3108,,2057
213,Guinea,2015-02-15, Total,3108,156,2057
214,Guinea,2015-02-15, Probable,374,Not reported,374
