,Country,Data as of,Case definition,Number of cases Cumulative,Number of cases in past 21 days,Number of deaths Cumulative
284,Sierra Leone,2015-03-15, Total,11 751,,3691
285,Sierra Leone,2015-03-15, Probable,287,Not reported,208
286,Sierra Leone,2015-03-15, Confirmed,8487,,3325
287,Sierra Leone,2015-03-15, Confirmed,8487,194,3325
288,Sierra Leone,2015-03-17, Confirmed,8502,,3336
289,Sierra Leone,2015-03-17, Total,11 779,,3702
290,Sierra Leone,2015-03-17, Probable,287,,208
291,Sierra Leone,2015-03-17, Suspected,2990,,158
292,Sierra Leone,2015-03-18, Probable,287,,208
293,Sierra Leone,2015-03-18, Confirmed,8508,,3346
294,Sierra Leone,2015-03-18, Suspected,2999,,158
295,Sierra Leone,2015-03-18, Total,11 794,,3712
296,Sierra Leone,2015-03-21, Total,11 829,,3742
297,Sierra Leone,2015-03-21, Suspected,3024,,158
298,Sierra Leone,2015-03-21, Probable,287,,208
299,Sierra Leone,2015-03-21, Confirmed,8518,,3376
300,Sierra Leone,2015-03-22, Suspected,3034,Not reported,158
301,Sierra Leone,2015-03-22, Confirmed,8520,,3381
302,Sierra Leone,2015-03-22, Probable,287,,208
303,Sierra Leone,2015-03-22, Suspected,3034,,158
304,Sierra Leone,2015-03-22, Confirmed,8520,146,3381
305,Sierra Leone,2015-03-22, Probable,287,Not reported,208
306,Sierra Leone,2015-03-22, Total,11 841,,3747
307,Sierra Leone,2015-03-22, Total,11 841,146,3747
308,Sierra Leone,2015-03-24, Probable,287,,208
309,Sierra Leone,2015-03-24, Suspected,3050,,158
310,Sierra Leone,2015-03-24, Total,11 866,,3764
311,Sierra Leone,2015-03-24, Confirmed,8529,,3398
312,Sierra Leone,2015-03-25, Total,11 889,,3773
313,Sierra Leone,2015-03-25, Suspected,3070,,158
314,Sierra Leone,2015-03-25, Probable,287,,208
315,Sierra Leone,2015-03-25, Confirmed,8532,,3407
316,Sierra Leone,2015-03-28, Confirmed,8541,,3426
317,Sierra Leone,2015-03-28, Probable,287,,208
318,Sierra Leone,2015-03-28, Suspected,3115,,158
319,Sierra Leone,2015-03-28, Total,11 943,,3792
320,Sierra Leone,2015-03-29, Probable,287,,208
321,Sierra Leone,2015-03-29, Suspected,3142,,158
322,Sierra Leone,2015-03-29, Total,11 974,,3799
323,Sierra Leone,2015-03-29, Confirmed,8545,113,3433
324,Sierra Leone,2015-03-29, Probable,287,Not reported,208
325,Sierra Leone,2015-03-29, Suspected,3142,Not reported,158
326,Sierra Leone,2015-03-29, Confirmed,8545,,3433
327,Sierra Leone,2015-03-29, Total,11 974,113,3799
328,Sierra Leone,2015-03-31, Probable,287,,208
329,Sierra Leone,2015-03-31, Suspected,3188,,158
330,Sierra Leone,2015-03-31, Total,12 022,,3810
331,Sierra Leone,2015-03-31, Confirmed,8547,,3444
332,Sierra Leone,2015-04-05, Total,12 139,,3832
333,Sierra Leone,2015-04-05, Suspected,3297,Not reported.,158
334,Sierra Leone,2015-04-05, Suspected,3297,,158
335,Sierra Leone,2015-04-05, Confirmed,8555,,3466
336,Sierra Leone,2015-04-05, Probable,287,,208
337,Sierra Leone,2015-04-05, Total,12 138,67,3831
338,Sierra Leone,2015-04-05, Confirmed,8554,67,3465
339,Sierra Leone,2015-04-05, Probable,287,Not reported.,208
340,Sierra Leone,2015-04-07, Total,12 155,,3841
341,Sierra Leone,2015-04-07, Confirmed,8558,,3475
342,Sierra Leone,2015-04-07, Probable,287,,208
343,Sierra Leone,2015-04-07, Suspected,3310,,158
344,Sierra Leone,2015-04-08, Confirmed,8559,,3476
345,Sierra Leone,2015-04-08, Probable,287,,208
346,Sierra Leone,2015-04-08, Suspected,3324,,158
347,Sierra Leone,2015-04-08, Total,12 170,,3842
348,Sierra Leone,2015-04-10, Total,12 188,,3854
349,Sierra Leone,2015-04-10, Probable,287,,208
350,Sierra Leone,2015-04-10, Suspected,3341,,158
351,Sierra Leone,2015-04-10, Confirmed,8560,,3488
352,Sierra Leone,2015-04-12, Probable,287,Not reported.,208
353,Sierra Leone,2015-04-12, Suspected,3351,,158
354,Sierra Leone,2015-04-12, Confirmed,8563,43,3491
355,Sierra Leone,2015-04-12, Probable,287,,208
356,Sierra Leone,2015-04-12, Confirmed,8563,,3491
357,Sierra Leone,2015-04-12, Total,12 201,43,3857
358,Sierra Leone,2015-04-12, Total,12 201,,3857
359,Sierra Leone,2015-04-12, Suspected,3351,Not reported.,158
360,Sierra Leone,2015-04-14, Total,12 223,,3865
361,Sierra Leone,2015-04-14, Confirmed,8566,,3499
362,Sierra Leone,2015-04-14, Suspected,3370,,158
363,Sierra Leone,2015-04-14, Probable,287,,208
364,Sierra Leone,2015-04-15, Probable,287,,208
365,Sierra Leone,2015-04-15, Total,12 244,,3865
366,Sierra Leone,2015-04-15, Confirmed,8569,,3499
367,Sierra Leone,2015-04-15, Suspected,3388,,158
368,Sierra Leone,2015-04-17, Total,12 256,,3872
369,Sierra Leone,2015-04-17, Confirmed,8572,,3506
370,Sierra Leone,2015-04-17, Probable,287,,208
371,Sierra Leone,2015-04-17, Suspected,3397,,158
372,Sierra Leone,2015-04-19, Total,12 265,,3877
