Virus,Region,Sub-region,Date,Type,Case Number,Comments
Ebolavirus,Africa, Guinea,2015-03-30,Confirmed,3485,
Ebolavirus,Africa, Guinea,2015-03-30,Deaths,2305,
Ebolavirus,Africa, Guinea,2015-03-31,Confirmed,3492,
Ebolavirus,Africa, Guinea,2015-03-31,Deaths,2314,
Ebolavirus,Africa, Guinea,2015-04-01,Confirmed,3492,
Ebolavirus,Africa, Guinea,2015-04-01,Deaths,2314,
Ebolavirus,Africa, Guinea,2015-04-02,Confirmed,3494,
Ebolavirus,Africa, Guinea,2015-04-02,Deaths,2320,
Ebolavirus,Africa, Guinea,2015-04-07,Confirmed,3515,
Ebolavirus,Africa, Guinea,2015-04-07,Deaths,2333,
Ebolavirus,Africa, Guinea,2015-04-08,Confirmed,3515,
Ebolavirus,Africa, Guinea,2015-04-08,Deaths,2333,
Ebolavirus,Africa, Guinea,2015-04-09,Confirmed,3515,
Ebolavirus,Africa, Guinea,2015-04-09,Deaths,2335,
Ebolavirus,Africa, Guinea,2015-04-10,Confirmed,3524,
Ebolavirus,Africa, Guinea,2015-04-10,Deaths,2337,
Ebolavirus,Africa, Guinea,2015-04-13,Confirmed,3541,
Ebolavirus,Africa, Guinea,2015-04-13,Deaths,2342,
Ebolavirus,Africa, Guinea,2015-04-14,Confirmed,3548,
Ebolavirus,Africa, Guinea,2015-04-14,Deaths,2346,
Ebolavirus,Africa, Guinea,2015-04-15,Confirmed,3548,
Ebolavirus,Africa, Guinea,2015-04-15,Deaths,2346,
Ebolavirus,Africa, Guinea,2015-04-16,Confirmed,3566,
Ebolavirus,Africa, Guinea,2015-04-16,Deaths,2348,
Ebolavirus,Africa, Guinea,2015-04-17,Confirmed,3569,
Ebolavirus,Africa, Guinea,2015-04-17,Deaths,2351,
Ebolavirus,Africa, Guinea,2015-04-18,Confirmed,3565,
Ebolavirus,Africa, Guinea,2015-04-18,Deaths,2357,
Ebolavirus,Africa, Guinea,2015-04-19,Confirmed,3565,
Ebolavirus,Africa, Guinea,2015-04-19,Confirmed,3565,
Ebolavirus,Africa, Guinea,2015-04-19,Deaths,2358,
Ebolavirus,Africa, Guinea,2015-04-19,Deaths,2358,
Ebolavirus,Africa, Guinea,2015-04-21,Confirmed,3568,
Ebolavirus,Africa, Guinea,2015-04-21,Deaths,2362,
Ebolavirus,Africa, Guinea,2015-04-22,Confirmed,3576,
Ebolavirus,Africa, Guinea,2015-04-22,Deaths,2365,
Ebolavirus,Africa, Guinea,2015-04-24,Confirmed,3585,
Ebolavirus,Africa, Guinea,2015-04-24,Deaths,2374,
Ebolavirus,Africa, Guinea,2015-04-26,Confirmed,3584,
Ebolavirus,Africa, Guinea,2015-04-26,Deaths,2377,
Ebolavirus,Africa, Guinea,2015-04-28,Confirmed,3581,
Ebolavirus,Africa, Guinea,2015-04-28,Deaths,2381,
Ebolavirus,Africa, Guinea,2015-04-29,Confirmed,3578,
Ebolavirus,Africa, Guinea,2015-04-29,Deaths,2383,
Ebolavirus,Africa, Guinea,2015-05-02,Confirmed,3591,
Ebolavirus,Africa, Guinea,2015-05-02,Deaths,2385,
Ebolavirus,Africa, Guinea,2015-05-03,Confirmed,3589,
Ebolavirus,Africa, Guinea,2015-05-03,Confirmed,3589,
Ebolavirus,Africa, Guinea,2015-05-03,Deaths,2386,
Ebolavirus,Africa, Guinea,2015-05-03,Deaths,2386,
Ebolavirus,Africa, Guinea,2015-05-05,Confirmed,3592,
Ebolavirus,Africa, Guinea,2015-05-05,Deaths,2387,
Ebolavirus,Africa, Guinea,2015-05-06,Confirmed,3592,
Ebolavirus,Africa, Guinea,2015-05-06,Deaths,2387,
Ebolavirus,Africa, Guinea,2015-05-09,Confirmed,3599,
Ebolavirus,Africa, Guinea,2015-05-09,Deaths,2391,
Ebolavirus,Africa, Guinea,2015-05-10,Confirmed,3597,
Ebolavirus,Africa, Guinea,2015-05-10,Deaths,2392,
Ebolavirus,Africa, Guinea,2015-05-12,Confirmed,3615,
Ebolavirus,Africa, Guinea,2015-05-12,Deaths,2399,
Ebolavirus,Africa, Guinea,2015-05-13,Confirmed,3619,
Ebolavirus,Africa, Guinea,2015-05-13,Deaths,2401,
Ebolavirus,Africa, Guinea,2015-05-16,Confirmed,3626,
Ebolavirus,Africa, Guinea,2015-05-16,Deaths,2405,
Ebolavirus,Africa, Guinea,2015-05-19,Confirmed,3649,
Ebolavirus,Africa, Guinea,2015-05-19,Deaths,2409,
Ebolavirus,Africa, Guinea,2015-05-20,Confirmed,3647,
Ebolavirus,Africa, Guinea,2015-05-20,Deaths,2412,
Ebolavirus,Africa, Guinea,2015-05-24,Confirmed,3641,
Ebolavirus,Africa, Guinea,2015-05-24,Deaths,2420,
Ebolavirus,Africa, Guinea,2015-05-26,Confirmed,3639,
