Country,Domain,Sub-Domain,Population
Saint Barthelemy,,,10888
Saint Helena,,,5428
Saint Kitts and Nevis,,,47631
Saint Lucia,,,179663
Saint Martin (French part),,,31964
Saint Pierre and Miquelon,,,5905
Saint Vincent and the Grenadines,,,104340
Samoa,,,218781
San Marino,,,33772
Sao Tome and Principe,,,223118
Saudi Arabia,,,35950396
Senegal,,,16876726
Serbia,,,7296771
Seychelles,,,106486
Sierra Leone,,,8420642
Singapore,,,5941063
Sint Maarten (Dutch part),,,44061
Slovakia,,,5447621
Slovenia,,,2119408
Small island developing states (SIDS),,,73767220
Solomon Islands,,,707855
Somalia,,,17065588
South Africa,,,59392256
South Korea,,,51830136
South Sudan,,,10748278
Spain,,,47486932
Sri Lanka,,,21773438
Sudan,,,45657204
Suriname,,,612989
Sweden,,,10467095
Switzerland,,,8691409
Syria,,,21324366
Taiwan,,,23859904
Tajikistan,,,9750078
Tanzania,,,63588332
Thailand,,,71601100
Togo,,,8644829
Tokelau,,,1869
Tonga,,,106034
Trinidad and Tobago,,,1525671
Tunisia,,,12262949
Turkey,,,84775410
Turkmenistan,,,6341850
Turks and Caicos Islands,,,45141
Tuvalu,,,11229
Uganda,,,45853780
Ukraine,,,43531424
United Arab Emirates,,,9365149
United Kingdom,,,67281040
United States,,,336997630
United States Virgin Islands,,,100100
Upper-middle-income countries,,,2519863600
Uruguay,,,3426265
Uzbekistan,,,34081452
Vanuatu,,,319146
Venezuela,,,28199862
Vietnam,,,97468024
Wallis and Futuna,,,11654
Western Sahara,,,565590
World,,,7909295000
Yemen,,,32981644
Zambia,,,19473132
Zimbabwe,,,15993525
United States,Alabama,,"5,024,356"
United States,Alaska,,"733,378"
United States,Arizona,,"7,151,507"
United States,Arkansas,,"3,011,555"
United States,California,,"39,538,245"
United States,Colorado,,"5,773,733"
United States,Connecticut,,"3,605,942"
United States,Delaware,,"989,957"
United States,District of Columbia,,"689,546"
United States,Florida,,"21,538,226"
United States,Georgia,,"10,711,937"
United States,Hawaii,,"1,455,273"
United States,Idaho,,"1,839,092"
United States,Illinois,,"12,812,545"
United States,Indiana,,"6,785,668"
United States,Iowa,,"3,190,372"
United States,Kansas,,"2,937,847"
United States,Kentucky,,"4,505,893"
United States,Louisiana,,"4,657,749"
United States,Maine,,"1,362,341"
United States,Maryland,,"6,177,213"
United States,Massachusetts,,"7,029,949"
United States,Michigan,,"10,077,325"
United States,Minnesota,,"5,706,504"
United States,Mississippi,,"2,961,288"
United States,Missouri,,"6,154,920"
United States,Montana,,"1,084,197"
United States,Nebraska,,"1,961,489"
United States,Nevada,,"3,104,624"
United States,New Hampshire,,"1,377,518"
United States,New Jersey,,"9,289,031"
United States,New Mexico,,"2,117,527"
United States,New York,,"20,201,230"
United States,North Carolina,,"10,439,414"
United States,North Dakota,,"779,091"
United States,Ohio,,"11,799,374"
United States,Oklahoma,,"3,959,346"
United States,Oregon,,"4,237,291"
United States,Pennsylvania,,"13,002,689"
United States,Rhode Island,,"1,097,371"
United States,South Carolina,,"5,118,429"
United States,South Dakota,,"886,677"
United States,Tennessee,,"6,910,786"
United States,Texas,,"29,145,428"
United States,Utah,,"3,271,614"
United States,Vermont,,"643,085"
United States,Virginia,,"8,631,384"
United States,Washington,,"7,705,247"
United States,West Virginia,,"1,793,755"
United States,Wisconsin,,"5,893,725"
United States,Wyoming,,"576,837"
United States,Puerto Rico,,"3,285,874"
Australia,New South Wales,,8339299.999999999
Australia,Victoria,,6812500
Australia,Queensland,,5459400
Australia,South Australia,,1851700
Australia,Western Australia,,2878600
Australia,Tasmania,,572800
Australia,Northern Territory,,252500
Australia,Australian Capital Territory,,466800
Canada,Alberta,,4601314
Canada,British Columbia,,5368266
Canada,Manitoba,,1420228
Canada,New Brunswick,,820786
Canada,Newfoundland,,528818
Canada,Northwest Territory,,45602
Canada,Nova Scotia,,1030953
Canada,Nunavut,,40586
Canada,Ontario,,15262660
Canada,Prince Edward Island,,172707
Canada,Quebec,,8751352
Canada,Saskatchewan,,1205119
Canada,Yukon,,43964
Puerto Rico,San Juan,,399474
Peru,Iquitos,,498000
"Hong Kong SAR, China",,,6731000
Viet Nam,,,81480000
"Taiwan, China",,,22600000
Republic of Ireland,,,3997000
Republic of Korea,,,47890000
"Macao SAR, China",,,462533
Russian Federation,,,144600000
