Virus Family,Virus Genus,Virus Species,Region,Sub-region,Date,Type,Case Number,Comments
Orthomyxovididae,Influenza Viruses,,United States,,2000-07-16,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2000-07-23,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2000-07-30,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2000-08-06,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2000-08-13,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2000-08-20,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2000-08-27,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2000-09-03,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2000-09-10,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2000-09-17,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2000-09-24,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2000-10-01,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2000-10-08,Influenza Like Illness,1041,
Orthomyxovididae,Influenza Viruses,,United States,,2000-10-15,Influenza Like Illness,1234,
Orthomyxovididae,Influenza Viruses,,United States,,2000-10-22,Influenza Like Illness,1561,
Orthomyxovididae,Influenza Viruses,,United States,,2000-10-29,Influenza Like Illness,1781,
Orthomyxovididae,Influenza Viruses,,United States,,2000-11-05,Influenza Like Illness,1870,
Orthomyxovididae,Influenza Viruses,,United States,,2000-11-12,Influenza Like Illness,2229,
Orthomyxovididae,Influenza Viruses,,United States,,2000-11-19,Influenza Like Illness,2449,
Orthomyxovididae,Influenza Viruses,,United States,,2000-11-26,Influenza Like Illness,2417,
Orthomyxovididae,Influenza Viruses,,United States,,2000-12-03,Influenza Like Illness,2854,
Orthomyxovididae,Influenza Viruses,,United States,,2000-12-10,Influenza Like Illness,3097,
Orthomyxovididae,Influenza Viruses,,United States,,2000-12-17,Influenza Like Illness,3394,
Orthomyxovididae,Influenza Viruses,,United States,,2000-12-24,Influenza Like Illness,3361,
Orthomyxovididae,Influenza Viruses,,United States,,2000-12-31,Influenza Like Illness,4152,
Orthomyxovididae,Influenza Viruses,,United States,,2001-01-07,Influenza Like Illness,4796,
Orthomyxovididae,Influenza Viruses,,United States,,2001-01-14,Influenza Like Illness,5544,
Orthomyxovididae,Influenza Viruses,,United States,,2001-01-21,Influenza Like Illness,6717,
Orthomyxovididae,Influenza Viruses,,United States,,2001-01-28,Influenza Like Illness,7908,
Orthomyxovididae,Influenza Viruses,,United States,,2001-02-04,Influenza Like Illness,7287,
Orthomyxovididae,Influenza Viruses,,United States,,2001-02-11,Influenza Like Illness,6476,
Orthomyxovididae,Influenza Viruses,,United States,,2001-02-18,Influenza Like Illness,4832,
Orthomyxovididae,Influenza Viruses,,United States,,2001-02-25,Influenza Like Illness,3923,
Orthomyxovididae,Influenza Viruses,,United States,,2001-03-04,Influenza Like Illness,2606,
Orthomyxovididae,Influenza Viruses,,United States,,2001-03-11,Influenza Like Illness,2562,
Orthomyxovididae,Influenza Viruses,,United States,,2001-03-18,Influenza Like Illness,1943,
Orthomyxovididae,Influenza Viruses,,United States,,2001-03-25,Influenza Like Illness,1879,
Orthomyxovididae,Influenza Viruses,,United States,,2001-04-01,Influenza Like Illness,1590,
Orthomyxovididae,Influenza Viruses,,United States,,2001-04-08,Influenza Like Illness,1256,
Orthomyxovididae,Influenza Viruses,,United States,,2001-04-15,Influenza Like Illness,950,
Orthomyxovididae,Influenza Viruses,,United States,,2001-04-22,Influenza Like Illness,997,
Orthomyxovididae,Influenza Viruses,,United States,,2001-04-29,Influenza Like Illness,771,
Orthomyxovididae,Influenza Viruses,,United States,,2001-05-06,Influenza Like Illness,734,
Orthomyxovididae,Influenza Viruses,,United States,,2001-05-13,Influenza Like Illness,671,
Orthomyxovididae,Influenza Viruses,,United States,,2001-05-20,Influenza Like Illness,470,
Orthomyxovididae,Influenza Viruses,,United States,,2001-05-27,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2001-06-03,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2001-06-10,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2001-06-17,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2001-06-24,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2001-07-01,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2001-07-08,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2001-07-15,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2001-07-22,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2001-07-29,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2001-08-05,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2001-08-12,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2001-08-19,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2001-08-26,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2001-09-02,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2001-09-09,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2001-09-16,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2001-09-23,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2001-09-30,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2001-10-07,Influenza Like Illness,1368,
Orthomyxovididae,Influenza Viruses,,United States,,2001-10-14,Influenza Like Illness,1747,
Orthomyxovididae,Influenza Viruses,,United States,,2001-10-21,Influenza Like Illness,1932,
Orthomyxovididae,Influenza Viruses,,United States,,2001-10-28,Influenza Like Illness,2204,
Orthomyxovididae,Influenza Viruses,,United States,,2001-11-04,Influenza Like Illness,2371,
Orthomyxovididae,Influenza Viruses,,United States,,2001-11-11,Influenza Like Illness,2327,
Orthomyxovididae,Influenza Viruses,,United States,,2001-11-18,Influenza Like Illness,2508,
Orthomyxovididae,Influenza Viruses,,United States,,2001-11-25,Influenza Like Illness,2090,
Orthomyxovididae,Influenza Viruses,,United States,,2001-12-02,Influenza Like Illness,2566,
Orthomyxovididae,Influenza Viruses,,United States,,2001-12-09,Influenza Like Illness,2275,
Orthomyxovididae,Influenza Viruses,,United States,,2001-12-16,Influenza Like Illness,2169,
Orthomyxovididae,Influenza Viruses,,United States,,2001-12-23,Influenza Like Illness,2278,
Orthomyxovididae,Influenza Viruses,,United States,,2001-12-30,Influenza Like Illness,2265,
Orthomyxovididae,Influenza Viruses,,United States,,2002-01-13,Influenza Like Illness,2568,
Orthomyxovididae,Influenza Viruses,,United States,,2002-01-20,Influenza Like Illness,2875,
Orthomyxovididae,Influenza Viruses,,United States,,2002-01-27,Influenza Like Illness,3743,
Orthomyxovididae,Influenza Viruses,,United States,,2002-02-03,Influenza Like Illness,4797,
Orthomyxovididae,Influenza Viruses,,United States,,2002-02-10,Influenza Like Illness,5557,
Orthomyxovididae,Influenza Viruses,,United States,,2002-02-17,Influenza Like Illness,5624,
Orthomyxovididae,Influenza Viruses,,United States,,2002-02-24,Influenza Like Illness,5924,
Orthomyxovididae,Influenza Viruses,,United States,,2002-03-03,Influenza Like Illness,5760,
Orthomyxovididae,Influenza Viruses,,United States,,2002-03-10,Influenza Like Illness,5104,
Orthomyxovididae,Influenza Viruses,,United States,,2002-03-17,Influenza Like Illness,3631,
Orthomyxovididae,Influenza Viruses,,United States,,2002-03-24,Influenza Like Illness,2977,
Orthomyxovididae,Influenza Viruses,,United States,,2002-03-31,Influenza Like Illness,2417,
Orthomyxovididae,Influenza Viruses,,United States,,2002-04-07,Influenza Like Illness,2079,
Orthomyxovididae,Influenza Viruses,,United States,,2002-04-14,Influenza Like Illness,1655,
Orthomyxovididae,Influenza Viruses,,United States,,2002-04-21,Influenza Like Illness,1169,
Orthomyxovididae,Influenza Viruses,,United States,,2002-04-28,Influenza Like Illness,1018,
Orthomyxovididae,Influenza Viruses,,United States,,2002-05-05,Influenza Like Illness,830,
Orthomyxovididae,Influenza Viruses,,United States,,2002-05-12,Influenza Like Illness,672,
Orthomyxovididae,Influenza Viruses,,United States,,2002-05-19,Influenza Like Illness,673,
Orthomyxovididae,Influenza Viruses,,United States,,2002-05-26,Influenza Like Illness,576,
Orthomyxovididae,Influenza Viruses,,United States,,2002-06-02,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2002-06-09,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2002-06-16,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2002-06-23,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2002-06-30,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2002-07-07,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2002-07-14,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2002-07-21,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2002-07-28,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2002-08-04,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2002-08-11,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2002-08-18,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2002-08-25,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2002-09-01,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2002-09-08,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2002-09-15,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2002-09-22,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2002-09-29,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2002-10-06,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2002-10-13,Influenza Like Illness,2060,
Orthomyxovididae,Influenza Viruses,,United States,,2002-10-20,Influenza Like Illness,2267,
Orthomyxovididae,Influenza Viruses,,United States,,2002-10-27,Influenza Like Illness,2176,
Orthomyxovididae,Influenza Viruses,,United States,,2002-11-03,Influenza Like Illness,2599,
Orthomyxovididae,Influenza Viruses,,United States,,2002-11-10,Influenza Like Illness,2907,
Orthomyxovididae,Influenza Viruses,,United States,,2002-11-17,Influenza Like Illness,3225,
Orthomyxovididae,Influenza Viruses,,United States,,2002-11-24,Influenza Like Illness,3097,
Orthomyxovididae,Influenza Viruses,,United States,,2002-12-01,Influenza Like Illness,2967,
Orthomyxovididae,Influenza Viruses,,United States,,2002-12-08,Influenza Like Illness,2709,
Orthomyxovididae,Influenza Viruses,,United States,,2002-12-15,Influenza Like Illness,3049,
Orthomyxovididae,Influenza Viruses,,United States,,2002-12-22,Influenza Like Illness,2957,
Orthomyxovididae,Influenza Viruses,,United States,,2002-12-29,Influenza Like Illness,3416,
Orthomyxovididae,Influenza Viruses,,United States,,2003-01-05,Influenza Like Illness,2857,
Orthomyxovididae,Influenza Viruses,,United States,,2003-01-12,Influenza Like Illness,3260,
Orthomyxovididae,Influenza Viruses,,United States,,2003-01-19,Influenza Like Illness,3729,
Orthomyxovididae,Influenza Viruses,,United States,,2003-01-26,Influenza Like Illness,4204,
Orthomyxovididae,Influenza Viruses,,United States,,2003-02-02,Influenza Like Illness,5696,
Orthomyxovididae,Influenza Viruses,,United States,,2003-02-09,Influenza Like Illness,7079,
Orthomyxovididae,Influenza Viruses,,United States,,2003-02-16,Influenza Like Illness,7782,
Orthomyxovididae,Influenza Viruses,,United States,,2003-02-23,Influenza Like Illness,7649,
Orthomyxovididae,Influenza Viruses,,United States,,2003-03-02,Influenza Like Illness,7228,
Orthomyxovididae,Influenza Viruses,,United States,,2003-03-09,Influenza Like Illness,5606,
Orthomyxovididae,Influenza Viruses,,United States,,2003-03-16,Influenza Like Illness,4450,
Orthomyxovididae,Influenza Viruses,,United States,,2003-03-23,Influenza Like Illness,3810,
Orthomyxovididae,Influenza Viruses,,United States,,2003-03-30,Influenza Like Illness,2987,
Orthomyxovididae,Influenza Viruses,,United States,,2003-04-06,Influenza Like Illness,2439,
Orthomyxovididae,Influenza Viruses,,United States,,2003-04-13,Influenza Like Illness,2028,
Orthomyxovididae,Influenza Viruses,,United States,,2003-04-20,Influenza Like Illness,2082,
Orthomyxovididae,Influenza Viruses,,United States,,2003-04-27,Influenza Like Illness,1467,
Orthomyxovididae,Influenza Viruses,,United States,,2003-05-04,Influenza Like Illness,1445,
Orthomyxovididae,Influenza Viruses,,United States,,2003-05-11,Influenza Like Illness,1075,
Orthomyxovididae,Influenza Viruses,,United States,,2003-05-18,Influenza Like Illness,1005,
Orthomyxovididae,Influenza Viruses,,United States,,2003-05-25,Influenza Like Illness,836,
Orthomyxovididae,Influenza Viruses,,United States,,2003-06-01,Influenza Like Illness,740,
Orthomyxovididae,Influenza Viruses,,United States,,2003-06-08,Influenza Like Illness,641,
Orthomyxovididae,Influenza Viruses,,United States,,2003-06-15,Influenza Like Illness,563,
Orthomyxovididae,Influenza Viruses,,United States,,2003-06-22,Influenza Like Illness,620,
Orthomyxovididae,Influenza Viruses,,United States,,2003-06-29,Influenza Like Illness,423,
Orthomyxovididae,Influenza Viruses,,United States,,2003-07-06,Influenza Like Illness,441,
Orthomyxovididae,Influenza Viruses,,United States,,2003-07-13,Influenza Like Illness,318,
Orthomyxovididae,Influenza Viruses,,United States,,2003-07-20,Influenza Like Illness,441,
Orthomyxovididae,Influenza Viruses,,United States,,2003-07-27,Influenza Like Illness,365,
Orthomyxovididae,Influenza Viruses,,United States,,2003-08-03,Influenza Like Illness,420,
Orthomyxovididae,Influenza Viruses,,United States,,2003-08-10,Influenza Like Illness,361,
Orthomyxovididae,Influenza Viruses,,United States,,2003-08-17,Influenza Like Illness,443,
Orthomyxovididae,Influenza Viruses,,United States,,2003-08-24,Influenza Like Illness,421,
Orthomyxovididae,Influenza Viruses,,United States,,2003-08-31,Influenza Like Illness,450,
Orthomyxovididae,Influenza Viruses,,United States,,2003-09-07,Influenza Like Illness,463,
Orthomyxovididae,Influenza Viruses,,United States,,2003-09-14,Influenza Like Illness,519,
Orthomyxovididae,Influenza Viruses,,United States,,2003-09-21,Influenza Like Illness,475,
