Date,Case Number
2021/08/03,199.0
2021/08/04,217.0
2021/08/05,219.0
2021/08/06,220.0
2021/08/07,238.0
2021/08/08,244.0
2021/08/09,257.0
2021/08/10,261.0
2021/08/11,300.0
2021/08/12,303.0
2021/08/13,307.0
2021/08/14,328.0
2021/08/15,342.0
2021/08/16,341.0
2021/08/17,347.0
2021/08/18,350.0
2021/08/19,364.0
2021/08/20,375.0
2021/08/21,399.0
2021/08/22,401.0
2021/08/23,446.0
2021/08/24,450.0
2021/08/25,436.0
2021/08/26,450.0
2021/08/27,437.0
2021/08/28,453.0
2021/08/29,461.0
2021/08/30,443.0
2021/08/31,463.0
2021/09/01,448.0
2021/09/02,459.0
2021/09/03,455.0
2021/09/04,409.0
2021/09/05,439.0
2021/09/06,450.0
2021/09/07,468.0
2021/09/08,470.0
2021/09/09,470.0
2021/09/10,484.0
2021/09/11,490.0
2021/09/12,517.0
2021/09/13,543.0
2021/09/14,537.0
2021/09/15,539.0
2021/09/16,574.0
2021/09/17,558.0
2021/09/18,535.0
2021/09/19,517.0
2021/09/20,478.0
2021/09/21,471.0
2021/09/22,463.0
2021/09/23,475.0
2021/09/24,462.0
2021/09/25,453.0
2021/09/26,469.0
2021/09/27,482.0
2021/09/28,475.0
2021/09/29,456.0
2021/09/30,450.0
2021/10/01,468.0
2021/10/02,441.0
2021/10/03,423.0
2021/10/04,424.0
2021/10/05,439.0
2021/10/06,419.0
2021/10/07,417.0
2021/10/08,400.0
2021/10/09,398.0
2021/10/10,421.0
2021/10/11,401.0
2021/10/12,411.0
2021/10/13,435.0
2021/10/14,414.0
2021/10/15,386.0
2021/10/16,414.0
2021/10/17,448.0
2021/10/18,441.0
2021/10/19,424.0
2021/10/20,399.0
2021/10/21,391.0
2021/10/22,395.0
2021/10/23,398.0
2021/10/24,398.0
2021/10/25,411.0
2021/10/26,400.0
2021/10/27,393.0
2021/10/28,398.0
2021/10/29,381.0
2021/10/30,385.0
2021/10/31,399.0
2021/11/01,396.0
2021/11/02,385.0
2021/11/03,361.0
2021/11/04,362.0
2021/11/05,383.0
2021/11/06,373.0
2021/11/07,380.0
2021/11/08,376.0
2021/11/09,390.0
2021/11/10,408.0
2021/11/11,409.0
2021/11/12,425.0
2021/11/13,438.0
2021/11/14,446.0
2021/11/15,478.0
2021/11/16,525.0
2021/11/17,543.0
2021/11/18,556.0
2021/11/19,551.0
2021/11/20,559.0
2021/11/21,594.0
2021/11/22,596.0
2021/11/23,609.0
2021/11/24,628.0
2021/11/25,651.0
2021/11/26,668.0
2021/11/27,690.0
2021/11/28,695.0
2021/11/29,725.0
2021/11/30,765.0
2021/12/01,818.0
2021/12/02,849.0
2021/12/03,852.0
2021/12/04,885.0
2021/12/05,923.0
2021/12/06,918.0
2021/12/07,972.0
2021/12/08,990.0
2021/12/09,991.0
2021/12/10,1043.0
2021/12/11,1065.0
2021/12/12,1090.0
2021/12/13,1125.0
2021/12/14,1090.0
2021/12/15,1161.0
2021/12/16,1188.0
2021/12/17,1194.0
2021/12/18,1173.0
2021/12/19,1186.0
2021/12/20,1251.0
2021/12/21,1268.0
2021/12/22,1278.0
2021/12/23,1261.0
2021/12/24,1252.0
2021/12/25,1230.0
2021/12/26,1266.0
2021/12/27,1326.0
2021/12/28,1318.0
2021/12/29,1469.0
2021/12/30,1598.0
2021/12/31,1687.0
2022/01/01,1729.0
2022/01/02,1862.0
2022/01/03,1952.0
2022/01/04,2002.0
2022/01/05,2252.0
2022/01/06,2360.0
2022/01/07,2497.0
2022/01/08,2624.0
2022/01/09,2647.0
2022/01/10,2595.0
2022/01/11,2706.0
2022/01/12,2875.0
2022/01/13,2946.0
2022/01/14,3022.0
2022/01/15,2889.0
2022/01/16,2927.0
2022/01/17,2806.0
2022/01/18,2789.0
2022/01/19,2825.0
2022/01/20,2795.0
2022/01/21,2708.0
2022/01/22,2500.0
2022/01/23,2471.0
2022/01/24,2336.0
2022/01/25,2248.0
2022/01/26,2206.0
2022/01/27,2102.0
2022/01/28,1956.0
2022/01/29,1782.0
2022/01/30,1788.0
2022/01/31,1677.0
2022/02/01,1521.0
2022/02/02,1431.0
2022/02/03,1388.0
2022/02/04,1291.0
2022/02/05,1223.0
2022/02/06,1197.0
2022/02/07,1125.0
2022/02/08,1034.0
2022/02/09,972.0
2022/02/10,913.0
2022/02/11,875.0
2022/02/12,797.0
2022/02/13,765.0
2022/02/14,735.0
2022/02/15,696.0
2022/02/16,623.0
2022/02/17,596.0
2022/02/18,581.0
2022/02/19,527.0
2022/02/20,529.0
2022/02/21,471.0
2022/02/22,439.0
2022/02/23,411.0
2022/02/24,403.0
2022/02/25,376.0
2022/02/26,351.0
2022/02/27,335.0
2022/02/28,337.0
2022/03/01,342.0
2022/03/02,315.0
2022/03/03,287.0
2022/03/04,266.0
2022/03/05,247.0
2022/03/06,252.0
2022/03/07,249.0
2022/03/08,239.0
2022/03/09,253.0
2022/03/10,236.0
2022/03/11,208.0
2022/03/12,208.0
2022/03/13,203.0
2022/03/14,200.0
2022/03/15,200.0
2022/03/16,196.0
2022/03/17,196.0
2022/03/18,188.0
2022/03/19,185.0
2022/03/20,177.0
2022/03/21,196.0
2022/03/22,198.0
2022/03/23,196.0
2022/03/24,198.0
2022/03/25,195.0
2022/03/26,208.0
2022/03/27,205.0
2022/03/28,200.0
2022/03/29,193.0
2022/03/30,195.0
2022/03/31,205.0
2022/04/01,198.0
2022/04/02,179.0
2022/04/03,191.0
2022/04/04,210.0
2022/04/05,191.0
2022/04/06,174.0
2022/04/07,197.0
2022/04/08,211.0
2022/04/09,219.0
2022/04/10,219.0
2022/04/11,227.0
2022/04/12,251.0
2022/04/13,273.0
2022/04/14,299.0
2022/04/15,318.0
2022/04/16,294.0
2022/04/17,294.0
2022/04/18,297.0
2022/04/19,343.0
2022/04/20,359.0
2022/04/21,368.0
2022/04/22,379.0
2022/04/23,372.0
2022/04/24,378.0
2022/04/25,386.0
2022/04/26,388.0
2022/04/27,405.0
2022/04/28,425.0
2022/04/29,427.0
2022/04/30,435.0
2022/05/01,455.0
2022/05/02,501.0
2022/05/03,490.0
2022/05/04,516.0
2022/05/05,531.0
2022/05/06,568.0
2022/05/07,603.0
2022/05/08,630.0
2022/05/09,664.0
2022/05/10,719.0
2022/05/11,706.0
2022/05/12,713.0
2022/05/13,715.0
2022/05/14,733.0
2022/05/15,726.0
2022/05/16,768.0
2022/05/17,795.0
2022/05/18,852.0
2022/05/19,810.0
2022/05/20,806.0
2022/05/21,792.0
2022/05/22,809.0
2022/05/23,796.0
2022/05/24,768.0
2022/05/25,788.0
2022/05/26,772.0
2022/05/27,736.0
2022/05/28,661.0
2022/05/29,644.0
2022/05/30,620.0
2022/05/31,641.0
2022/06/01,642.0
2022/06/02,626.0
2022/06/03,630.0
2022/06/04,585.0
2022/06/05,568.0
2022/06/06,556.0
2022/06/07,528.0
2022/06/08,481.0
2022/06/09,512.0
2022/06/10,536.0
2022/06/11,521.0
2022/06/12,512.0
2022/06/13,502.0
2022/06/14,477.0
2022/06/15,459.0
2022/06/16,450.0
2022/06/17,477.0
2022/06/18,450.0
2022/06/19,447.0
2022/06/20,429.0
2022/06/21,455.0
2022/06/22,462.0
2022/06/23,482.0
2022/06/24,482.0
2022/06/25,458.0
2022/06/26,477.0
2022/06/27,476.0
2022/06/28,462.0
2022/06/29,469.0
2022/06/30,470.0
2022/07/01,482.0
2022/07/02,459.0
2022/07/03,473.0
2022/07/04,476.0
2022/07/05,483.0
2022/07/06,530.0
2022/07/07,516.0
2022/07/08,522.0
2022/07/09,507.0
2022/07/10,522.0
2022/07/11,508.0
2022/07/12,527.0
2022/07/13,563.0
2022/07/14,565.0
2022/07/15,569.0
2022/07/16,552.0
2022/07/17,566.0
2022/07/18,567.0
2022/07/19,582.0
2022/07/20,594.0
2022/07/21,590.0
2022/07/22,606.0
2022/07/23,596.0
2022/07/24,607.0
2022/07/25,567.0
2022/07/26,591.0
2022/07/27,571.0
2022/07/28,582.0
2022/07/29,544.0
2022/07/30,528.0
2022/07/31,538.0
2022/08/01,536.0
2022/08/02,519.0
2022/08/03,525.0
2022/08/04,546.0
2022/08/05,532.0
2022/08/06,540.0
2022/08/07,560.0
2022/08/08,549.0
2022/08/09,529.0
2022/08/10,539.0
2022/08/11,524.0
2022/08/12,536.0
2022/08/13,526.0
2022/08/14,557.0
2022/08/15,555.0
2022/08/16,535.0
2022/08/17,519.0
2022/08/18,541.0
2022/08/19,533.0
2022/08/20,557.0
2022/08/21,567.0
2022/08/22,564.0
2022/08/23,528.0
2022/08/24,535.0
2022/08/25,534.0
2022/08/26,558.0
2022/08/27,553.0
2022/08/28,564.0
2022/08/29,542.0
2022/08/30,556.0
2022/08/31,579.0
2022/09/01,567.0
2022/09/02,563.0
2022/09/03,548.0
2022/09/04,540.0
2022/09/05,539.0
2022/09/06,544.0
2022/09/07,564.0
2022/09/08,544.0
2022/09/09,545.0
2022/09/10,546.0
2022/09/11,543.0
2022/09/12,531.0
2022/09/13,539.0
2022/09/14,549.0
2022/09/15,534.0
2022/09/16,535.0
2022/09/17,526.0
2022/09/18,537.0
2022/09/19,547.0
2022/09/20,543.0
2022/09/21,596.0
2022/09/22,627.0
2022/09/23,664.0
2022/09/24,639.0
2022/09/25,646.0
2022/09/26,654.0
2022/09/27,661.0
2022/09/28,725.0
2022/09/29,717.0
2022/09/30,723.0
2022/10/01,676.0
2022/10/02,709.0
2022/10/03,690.0
2022/10/04,690.0
2022/10/05,711.0
2022/10/06,745.0
2022/10/07,739.0
2022/10/08,742.0
2022/10/09,750.0
2022/10/10,751.0
2022/10/11,798.0
2022/10/12,793.0
2022/10/13,773.0
2022/10/14,786.0
2022/10/15,774.0
2022/10/16,776.0
2022/10/17,811.0
