Virus Family,Virus Genus,Virus Species,Region,Sub-region,Date,Type,Case Number,Comments
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,United Kingdom,2003-03-27,Cases,3,
Coronaviridae,Betacoronavirus,SARS-CoV-1,North America,United States,2003-03-27,Cases,45,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Viet Nam,2003-03-27,Cases,58,
Coronaviridae,Betacoronavirus,SARS-CoV-1,North America,Canada,2003-03-28,Cases,29,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,China,2003-03-28,Cases,806,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,"Hong Kong SAR, China",2003-03-28,Cases,425,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,"Taiwan, China",2003-03-28,Cases,10,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,France,2003-03-28,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Germany,2003-03-28,Cases,4,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Italy,2003-03-28,Cases,2,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Republic of Ireland,2003-03-28,Cases,2,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Romania,2003-03-28,Cases,3,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Singapore,2003-03-28,Cases,86,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Switzerland,2003-03-28,Cases,2,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Thailand,2003-03-28,Cases,3,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,United Kingdom,2003-03-28,Cases,3,
Coronaviridae,Betacoronavirus,SARS-CoV-1,North America,United States,2003-03-28,Cases,51,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Viet Nam,2003-03-28,Cases,58,
Coronaviridae,Betacoronavirus,SARS-CoV-1,North America,Canada,2003-03-29,Cases,37,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,China,2003-03-29,Cases,806,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,"Hong Kong SAR, China",2003-03-29,Cases,470,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,"Taiwan, China",2003-03-29,Cases,10,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,France,2003-03-29,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Germany,2003-03-29,Cases,4,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Italy,2003-03-29,Cases,2,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Republic of Ireland,2003-03-29,Cases,2,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Romania,2003-03-29,Cases,3,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Singapore,2003-03-29,Cases,89,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Switzerland,2003-03-29,Cases,3,
