Microbe Family,Microbe Genus,Microbe Species,Region,Country,State/City,date,type,number
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Germany,None,2003-03-25,Cumulative_Cases,4
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Hong Kong SAR, China",None,2003-03-25,Cumulative_Cases,286
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Italy,None,2003-03-25,Cumulative_Cases,2
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Republic of Ireland,None,2003-03-25,Cumulative_Cases,1
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,Singapore,None,2003-03-25,Cumulative_Cases,69
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Switzerland,None,2003-03-25,Cumulative_Cases,2
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Taiwan, China",None,2003-03-25,Cumulative_Cases,6
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Thailand,None,2003-03-25,Cumulative_Cases,5
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,United Kingdom,None,2003-03-25,Cumulative_Cases,3
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,United States,None,2003-03-25,Cumulative_Cases,39
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Viet Nam,None,2003-03-25,Cumulative_Cases,58
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,Canada,None,2003-03-26,Cumulative_Cases,19
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,China,None,2003-03-26,Cumulative_Cases,792
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Hong Kong SAR, China",None,2003-03-26,Cumulative_Cases,316
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Taiwan, China",None,2003-03-26,Cumulative_Cases,6
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,France,None,2003-03-26,Cumulative_Cases,1
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Germany,None,2003-03-26,Cumulative_Cases,4
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Italy,None,2003-03-26,Cumulative_Cases,3
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Republic of Ireland,None,2003-03-26,Cumulative_Cases,2
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,Singapore,None,2003-03-26,Cumulative_Cases,74
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Switzerland,None,2003-03-26,Cumulative_Cases,2
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Thailand,None,2003-03-26,Cumulative_Cases,3
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,United Kingdom,None,2003-03-26,Cumulative_Cases,3
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,United States,None,2003-03-26,Cumulative_Cases,40
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Viet Nam,None,2003-03-26,Cumulative_Cases,58
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,Canada,None,2003-03-27,Cumulative_Cases,28
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,China,None,2003-03-27,Cumulative_Cases,806
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Hong Kong SAR, China",None,2003-03-27,Cumulative_Cases,367
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Taiwan, China",None,2003-03-27,Cumulative_Cases,6
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,France,None,2003-03-27,Cumulative_Cases,1
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Germany,None,2003-03-27,Cumulative_Cases,4
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Italy,None,2003-03-27,Cumulative_Cases,2
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Republic of Ireland,None,2003-03-27,Cumulative_Cases,2
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Romania,None,2003-03-27,Cumulative_Cases,3
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,Singapore,None,2003-03-27,Cumulative_Cases,78
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Switzerland,None,2003-03-27,Cumulative_Cases,2
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Thailand,None,2003-03-27,Cumulative_Cases,3
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,United Kingdom,None,2003-03-27,Cumulative_Cases,3
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,United States,None,2003-03-27,Cumulative_Cases,45
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Viet Nam,None,2003-03-27,Cumulative_Cases,58
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,Canada,None,2003-03-28,Cumulative_Cases,29
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,China,None,2003-03-28,Cumulative_Cases,806
