Microbe Family,Microbe Genus,Microbe Species,Region,Country,Domain,Sub-Domain,date,type,number
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Spain,None,None,2003-04-04,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Switzerland,None,None,2003-04-04,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Thailand,None,None,2003-04-04,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,United Kingdom,None,None,2003-04-04,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,United States,None,None,2003-04-04,Cases,15.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Viet Nam,None,None,2003-04-04,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,Australia,None,None,2003-04-05,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Belgium,None,None,2003-04-05,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,Brazil,None,None,2003-04-05,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,Canada,None,None,2003-04-05,Cases,5.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,China,None,None,2003-04-05,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Hong Kong SAR, China",None,None,2003-04-05,Cases,39.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Taiwan, China",None,None,2003-04-05,Cases,2.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,France,None,None,2003-04-05,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Germany,None,None,2003-04-05,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Italy,None,None,2003-04-05,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Republic of Ireland,None,None,2003-04-05,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Romania,None,None,2003-04-05,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,Singapore,None,None,2003-04-05,Cases,1.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Spain,None,None,2003-04-05,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Switzerland,None,None,2003-04-05,Cases,-1.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Thailand,None,None,2003-04-05,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,United Kingdom,None,None,2003-04-05,Cases,1.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,United States,None,None,2003-04-05,Cases,15.0
