,Country,Data as of,Case definition,Number of cases Cumulative,Number of cases in past 21 days,Number of deaths Cumulative
52,Liberia,2014-12-18, Confirmed,3085,,Not available
53,Liberia,2014-12-18, Probable,1754,,Not available
54,Liberia,2014-12-18, Suspected,2991,,Not available
55,Liberia,2014-12-18, Confirmed,3085,,Not available
56,Liberia,2014-12-18, Probable,1754,,Not available
57,Liberia,2014-12-18, Suspected,2991,,Not available
58,Liberia,2014-12-18, Total,7830,,3376
59,Liberia,2014-12-18, Total,7830,,3376
60,Liberia,2014-12-20, Suspected,3020,,Not available
61,Liberia,2014-12-20, Confirmed,3085,121,Not available
62,Liberia,2014-12-20, Probable,1757,Not reported,Not available
63,Liberia,2014-12-20, Confirmed,3085,,Not available
64,Liberia,2014-12-20, Suspected,3020,Not reported,Not available
65,Liberia,2014-12-20, Total,7862,121,3384
66,Liberia,2014-12-20, Total,7862,,3384
67,Liberia,2014-12-20, Probable,1757,,Not available
68,Liberia,2014-12-24, Total,7977,,3413
69,Liberia,2014-12-24, Confirmed,3108,,Not available
70,Liberia,2014-12-24, Probable,1773,,Not available
71,Liberia,2014-12-24, Suspected,3096,,Not available
72,Liberia,2014-12-24, Suspected,3096,,Not available
73,Liberia,2014-12-24, Probable,1773,,Not available
74,Liberia,2014-12-24, Confirmed,3108,,Not available
75,Liberia,2014-12-24, Total,7977,,3413
76,Liberia,2014-12-28, Suspected,3132,Not reported,Not available
77,Liberia,2014-12-28, Total,8018,92,3423
78,Liberia,2014-12-28, Confirmed,3110,,Not available
79,Liberia,2014-12-28, Probable,1776,Not reported,Not available
80,Liberia,2014-12-28, Probable,1776,,Not available
81,Liberia,2014-12-28, Total,8018,,3423
82,Liberia,2014-12-28, Confirmed,3110,92,Not available
83,Liberia,2014-12-28, Suspected,3132,,Not available
84,Liberia,2014-12-31, Confirmed,3116,,Not available
85,Liberia,2014-12-31, Probable,1805,,Not available
86,Liberia,2014-12-31, Suspected,3198,,Not available
87,Liberia,2014-12-31, Total,8115,,3471
88,Liberia,2015-01-02, Suspected,3223,,Not available
89,Liberia,2015-01-02, Total,8157,70,3496
90,Liberia,2015-01-02, Suspected,3223,Not reported,Data not available.
91,Liberia,2015-01-02, Probable,1816,Not reported,Data not available.
92,Liberia,2015-01-02, Confirmed,3118,70,Data not available.
93,Liberia,2015-01-02, Probable,1816,,Not available
94,Liberia,2015-01-02, Confirmed,3118,,Not available
95,Liberia,2015-01-02, Total,8157,,3496
96,Liberia,2015-01-03, Suspected,3232,,Not available
97,Liberia,2015-01-03, Probable,1816,,Not available
98,Liberia,2015-01-03, Confirmed,3118,,Not available
99,Liberia,2015-01-03, Total,8166,,3496
100,Liberia,2015-01-06, Suspected,3309,,Not available
101,Liberia,2015-01-06, Confirmed,3123,,Not available
102,Liberia,2015-01-06, Total,8263,,3515
103,Liberia,2015-01-06, Probable,1831,,Not available
104,Liberia,2015-01-07, Suspected,3322,,Not available
105,Liberia,2015-01-07, Confirmed,3123,,Not available
106,Liberia,2015-01-07, Probable,1833,,Not available
107,Liberia,2015-01-07, Confirmed,3123,,Not available
108,Liberia,2015-01-07, Total,8278,,3515
109,Liberia,2015-01-07, Probable,1833,,Not available
110,Liberia,2015-01-07, Suspected,3322,,Not available
111,Liberia,2015-01-07, Total,8278,,3515
112,Liberia,2015-01-11, Suspected,3365,Not reported,Data not available. 
113,Liberia,2015-01-11, Total,8331,48,3538
114,Liberia,2015-01-11, Probable,1839,Not reported,Data not available. 
115,Liberia,2015-01-11, Confirmed,3127,48,Data not available. 
116,Liberia,2015-01-12, Suspected,3394,,Not available
117,Liberia,2015-01-12, Probable,1841,,Not available
118,Liberia,2015-01-12, Probable,1841,,Not available
119,Liberia,2015-01-12, Confirmed,3127,,Not available
120,Liberia,2015-01-12, Total,8362,,3556
121,Liberia,2015-01-12, Confirmed,3127,,Not available
122,Liberia,2015-01-12, Total,8362,,3556
123,Liberia,2015-01-12, Suspected,3394,,Not available
124,Liberia,2015-01-15, Total,8435,,3587
125,Liberia,2015-01-15, Suspected,3454,,Not available
126,Liberia,2015-01-15, Confirmed,3131,,Not available
127,Liberia,2015-01-15, Probable,1850,,Not available
128,Liberia,2015-01-18, Probable,1854,Not reported,Data not available.
129,Liberia,2015-01-18, Confirmed,3135,25,Data not available.
130,Liberia,2015-01-18, Total,8478,,3605
131,Liberia,2015-01-18, Suspected,3489,Not reported,Data not available.
132,Liberia,2015-01-18, Confirmed,3135,,Not available
133,Liberia,2015-01-18, Total,8478,25,3605
134,Liberia,2015-01-18, Suspected,3489,,Not available
135,Liberia,2015-01-18, Probable,1854,,Not available
136,Liberia,2015-01-20, Suspected,3534,,Not available
137,Liberia,2015-01-20, Total,8524,,3636
138,Liberia,2015-01-20, Total,8524,,3636
139,Liberia,2015-01-20, Suspected,3534,,Not available
140,Liberia,2015-01-20, Confirmed,3136,,Not available
141,Liberia,2015-01-20, Probable,1854,,Not available
142,Liberia,2015-01-20, Probable,1854,,Not available
143,Liberia,2015-01-20, Confirmed,3136,,Not available
144,Liberia,2015-01-20, Total,8524,,3636
145,Liberia,2015-01-20, Suspected,3534,,not available
146,Liberia,2015-01-20, Probable,1854,,not available
147,Liberia,2015-01-20, Confirmed,3136,,not available
148,Liberia,2015-01-25, Confirmed,3138,,Not available
149,Liberia,2015-01-25, Suspected,3620,,Not available
150,Liberia,2015-01-25, Probable,1864,,Not available
151,Liberia,2015-01-25, Total,8622,,3686
152,Liberia,2015-01-25, Confirmed,3138,20,Data not available
153,Liberia,2015-01-25, Probable,1864,Not reported,Data not available
154,Liberia,2015-01-25, Total,8622,20,3686
155,Liberia,2015-01-25, Suspected,3620,Not reported,Data not available
156,Liberia,2015-01-26, Confirmed,3138,,Not available
157,Liberia,2015-01-26, Probable,1864,,Not available
158,Liberia,2015-01-26, Suspected,3641,,Not available
159,Liberia,2015-01-26, Total,8643,,3700
160,Liberia,2015-01-26, Confirmed,3138,,Not available
161,Liberia,2015-01-26, Suspected,3641,,Not available
162,Liberia,2015-01-26, Total,8643,,3700
163,Liberia,2015-01-26, Probable,1864,,Not available
164,Liberia,2015-01-28, Total,8668,,3710
165,Liberia,2015-01-28, Probable,1864,,Not available
166,Liberia,2015-01-28, Suspected,3666,,Not available
167,Liberia,2015-01-28, Confirmed,3138,,Not available
168,Liberia,2015-01-31, Probable,1869,,Not available
169,Liberia,2015-01-31, Total,8729,,3739
170,Liberia,2015-01-31, Confirmed,3143,,Not available
171,Liberia,2015-01-31, Suspected,3717,,Not available
172,Liberia,2015-02-01, Confirmed,3143,,Not available
173,Liberia,2015-02-01, Probable,1870,,Not available
174,Liberia,2015-02-01, Total,8745,,3746
175,Liberia,2015-02-01, Suspected,3732,,Not available
176,Liberia,2015-02-01, Total,8745,17,3746
177,Liberia,2015-02-01, Suspected,3732,Not reported,Data not available
178,Liberia,2015-02-01, Confirmed,3143,,Not available
179,Liberia,2015-02-01, Confirmed,3143,17,Data not available
180,Liberia,2015-02-01, Probable,1870,Not reported,Data not available
181,Liberia,2015-02-01, Suspected,3732,,Not available
182,Liberia,2015-02-01, Total,8745,,3746
183,Liberia,2015-02-01, Probable,1870,,Not available
184,Liberia,2015-02-07, Total,8881,12,3826
185,Liberia,2015-02-07, Suspected,3862,,Not available
186,Liberia,2015-02-07, Probable,1873,,Not available
187,Liberia,2015-02-07, Suspected,3862,Not reported,Data not available. 
188,Liberia,2015-02-07, Probable,1873,Not reported,Data not available. 
189,Liberia,2015-02-07, Total,8881,,3826
190,Liberia,2015-02-07, Confirmed,3146,12,Not available
191,Liberia,2015-02-07, Confirmed,3146,,Not available
192,Liberia,2015-02-07, Probable,1873,,Not available
193,Liberia,2015-02-07, Suspected,3862,,Not available
194,Liberia,2015-02-07, Total,8881,,3826
195,Liberia,2015-02-07, Confirmed,3146,,Not available
196,Liberia,2015-02-07, Probable,1873,,Not available
197,Liberia,2015-02-07, Suspected,3862,,Not available
198,Liberia,2015-02-07, Total,8881,,3826
199,Liberia,2015-02-07, Confirmed,3146,,Not available
200,Liberia,2015-02-09, Confirmed,3147,,Not available
201,Liberia,2015-02-09, Probable,1876,,Not available
202,Liberia,2015-02-09, Suspected,3908,,Not available
203,Liberia,2015-02-09, Total,8931,,3858
204,Liberia,2015-02-12, Suspected,3982,,Not available
205,Liberia,2015-02-12, Confirmed,3149,,Not available
206,Liberia,2015-02-12, Confirmed,3149,,Not available
207,Liberia,2015-02-12, Probable,1876,,Not available
208,Liberia,2015-02-12, Total,9007,11,3900
209,Liberia,2015-02-12, Suspected,3982,Not reported,Data not available.
210,Liberia,2015-02-12, Confirmed,3149,11,Data not available.
211,Liberia,2015-02-12, Probable,1876,,Not available
212,Liberia,2015-02-12, Total,9007,,3900
213,Liberia,2015-02-12, Suspected,3982,,Not available
214,Liberia,2015-02-12, Probable,1876,Not reported,Data not available.
215,Liberia,2015-02-12, Total,9007,,3900
216,Liberia,2015-02-16, Confirmed,3152,,Not available
217,Liberia,2015-02-16, Probable,1882,,Not available
218,Liberia,2015-02-16, Total,9096,,3947
219,Liberia,2015-02-16, Suspected,4062,,Not available
220,Liberia,2015-02-16, Confirmed,3152,,Not available
221,Liberia,2015-02-16, Total,9096,,3947
222,Liberia,2015-02-16, Suspected,4062,,Not available
223,Liberia,2015-02-16, Probable,1882,,Not available
224,Liberia,2015-02-21, Suspected,4188,,Not available
225,Liberia,2015-02-21, Confirmed,3153,,Not available
226,Liberia,2015-02-21, Probable,1888,,Not available
227,Liberia,2015-02-21, Total,9229,,4032
228,Liberia,2015-02-22, Suspected,4197,Not reported,Data not available.
229,Liberia,2015-02-22, Probable,1888,Not reported,Data not available.
230,Liberia,2015-02-22, Total,9238,10,4037
231,Liberia,2015-02-22, Confirmed,3153,10,Data not available.
232,Liberia,2015-02-23, Confirmed,3153,,Not available
233,Liberia,2015-02-23, Suspected,4224,,Not available
234,Liberia,2015-02-23, Total,9265,,4057
235,Liberia,2015-02-23, Probable,1888,,Not available
236,Liberia,2015-02-23, Probable,1888,,Not available
237,Liberia,2015-02-23, Total,9265,,4057
238,Liberia,2015-02-23, Confirmed,3153,,Not available
239,Liberia,2015-02-23, Confirmed,3153,,Not available
240,Liberia,2015-02-23, Total,9265,,4057
241,Liberia,2015-02-23, Suspected,4224,,Not available
242,Liberia,2015-02-23, Suspected,4224,,Not available
243,Liberia,2015-02-23, Probable,1888,,Not available
244,Liberia,2015-03-01, Confirmed,3150,,Not available
245,Liberia,2015-03-01, Confirmed,3150,6,Data not available
246,Liberia,2015-03-01, Probable,1877,,Not available
247,Liberia,2015-03-01, Total,9249,6,4117
248,Liberia,2015-03-01, Suspected,4222,,Not available
249,Liberia,2015-03-01, Total,9249,,4117
250,Liberia,2015-03-01, Probable,1877,Not reported,Data not available
251,Liberia,2015-03-01, Probable,1877,,Not available
252,Liberia,2015-03-01, Confirmed,3150,,Not available
253,Liberia,2015-03-01, Total,9249,,4117
254,Liberia,2015-03-01, Suspected,4222,,Not available
255,Liberia,2015-03-01, Suspected,4222,Not reported,Data not available
256,Liberia,2015-03-05, Suspected,4314,,Not available
257,Liberia,2015-03-05, Total,9343,,4162
258,Liberia,2015-03-05, Suspected,4314,,Not available
259,Liberia,2015-03-05, Probable,1879,,Not available
260,Liberia,2015-03-05, Confirmed,3150,,Not available
261,Liberia,2015-03-05, Total,9343,,4162
262,Liberia,2015-03-05, Confirmed,3150,,Not available
263,Liberia,2015-03-05, Confirmed,3150,,Not available
264,Liberia,2015-03-05, Total,9343,,4162
265,Liberia,2015-03-05, Suspected,4314,,Not available
266,Liberia,2015-03-05, Probable,1879,,Not available
267,Liberia,2015-03-05, Total,9343,4,4162
268,Liberia,2015-03-05, Suspected,4314,Not reported,Data not available.
269,Liberia,2015-03-05, Probable,1879,Not reported,Data not available.
270,Liberia,2015-03-05, Confirmed,3150,4,Data not available.
271,Liberia,2015-03-05, Probable,1879,,Not available
272,Liberia,2015-03-12, Suspected,4453,,Not available
273,Liberia,2015-03-12, Confirmed,3150,,Not available
274,Liberia,2015-03-12, Total,9482,,4241
275,Liberia,2015-03-12, Suspected,4453,,Not available
276,Liberia,2015-03-12, Probable,1879,,Not available
277,Liberia,2015-03-12, Confirmed,3150,,Not available
278,Liberia,2015-03-12, Probable,1879,,Not available
279,Liberia,2015-03-12, Total,9482,,4241
280,Liberia,2015-03-15, Suspected,4497,Not reported,Data not available
281,Liberia,2015-03-15, Total,9526,0,4264
282,Liberia,2015-03-15, Suspected,4497,,Not available
283,Liberia,2015-03-15, Total,9526,,4264
284,Liberia,2015-03-15, Confirmed,3150,0,Data not available
285,Liberia,2015-03-15, Probable,1879,Not reported,Data not available
286,Liberia,2015-03-15, Confirmed,3150,,Not available
287,Liberia,2015-03-15, Probable,1879,,Not available
288,Liberia,2015-03-17, Total,9555,,4283
289,Liberia,2015-03-17, Confirmed,3150,,Not available
290,Liberia,2015-03-17, Total,9555,,4283
291,Liberia,2015-03-17, Probable,1879,,Not available
292,Liberia,2015-03-17, Probable,1879,,Not available
293,Liberia,2015-03-17, Confirmed,3150,,Not available
294,Liberia,2015-03-17, Suspected,4526,,Not available
295,Liberia,2015-03-17, Suspected,4526,,Not available
296,Liberia,2015-03-20, Probable,1879,,Not available
297,Liberia,2015-03-20, Confirmed,3151,,Not available
298,Liberia,2015-03-20, Total,9593,,4296
299,Liberia,2015-03-20, Suspected,4563,,Not available
300,Liberia,2015-03-22, Total,9602,1,4301
301,Liberia,2015-03-22, Suspected,4572,Not reported,Data not available. 
302,Liberia,2015-03-22, Probable,1879,Not reported,Data not available. 
303,Liberia,2015-03-22, Confirmed,3151,1,Data not available. 
304,Liberia,2015-03-22, Total,9602,,4301
305,Liberia,2015-03-22, Suspected,4572,,Not available
306,Liberia,2015-03-22, Probable,1879,,Not available
307,Liberia,2015-03-22, Confirmed,3151,,Not available
308,Liberia,2015-03-22, Suspected,4572,,Not available
309,Liberia,2015-03-22, Total,9602,,4301
310,Liberia,2015-03-22, Suspected,4572,,Not available
311,Liberia,2015-03-22, Probable,1879,,Not available
312,Liberia,2015-03-22, Confirmed,3151,,Not available
313,Liberia,2015-03-22, Total,9602,,4301
314,Liberia,2015-03-22, Probable,1879,,Not available
315,Liberia,2015-03-22, Confirmed,3151,,Not available
316,Liberia,2015-03-22, Total,9602,,4301
317,Liberia,2015-03-22, Suspected,4572,,Not available
318,Liberia,2015-03-22, Probable,1879,,Not available
319,Liberia,2015-03-22, Confirmed,3151,,Not available
320,Liberia,2015-03-29, Probable,1879,,Not available
321,Liberia,2015-03-29, Confirmed,3151,,Not available
322,Liberia,2015-03-29, Total,9712,,4332
323,Liberia,2015-03-29, Suspected,4682,,Not available
324,Liberia,2015-03-29, Confirmed,3151,1,Data not available.
325,Liberia,2015-03-29, Total,9712,,4332
326,Liberia,2015-03-29, Confirmed,3151,,Not available
327,Liberia,2015-03-29, Total,9712,1,4332
328,Liberia,2015-03-29, Suspected,4682,Not reported,Data not available.
329,Liberia,2015-03-29, Probable,1879,Not reported,Data not available.
330,Liberia,2015-03-29, Probable,1879,,Not available
331,Liberia,2015-03-29, Suspected,4682,,Not available
332,Liberia,2015-04-05, Probable,1879,,Not available
333,Liberia,2015-04-05, Suspected,4832,Not reported.,Data not available. 
334,Liberia,2015-04-05, Total,9862,,4408
335,Liberia,2015-04-05, Suspected,4832,,Not available
336,Liberia,2015-04-05, Confirmed,3151,,Not available
337,Liberia,2015-04-05, Total,9862,1,4408
338,Liberia,2015-04-05, Suspected,4832,,Not available
339,Liberia,2015-04-05, Confirmed,3151,,Not available
340,Liberia,2015-04-05, Probable,1879,,Not available
341,Liberia,2015-04-05, Total,9862,,4408
342,Liberia,2015-04-05, Total,9862,,4408
343,Liberia,2015-04-05, Probable,1879,,Not available
344,Liberia,2015-04-05, Confirmed,3151,,Not available
345,Liberia,2015-04-05, Confirmed,3151,,Not available
346,Liberia,2015-04-05, Probable,1879,,Not available
347,Liberia,2015-04-05, Total,9862,,4408
348,Liberia,2015-04-05, Suspected,4832,,Not available
349,Liberia,2015-04-05, Suspected,4832,,Not available
350,Liberia,2015-04-05, Confirmed,3151,,Not available
351,Liberia,2015-04-05, Suspected,4832,,Not available
352,Liberia,2015-04-05, Total,9862,,4408
353,Liberia,2015-04-05, Confirmed,3151,1,Data not available. 
354,Liberia,2015-04-05, Probable,1879,Not reported.,Data not available. 
355,Liberia,2015-04-05, Probable,1879,,Not available
356,Liberia,2015-04-11, Confirmed,3151,,Not available
357,Liberia,2015-04-11, Suspected,5012,,Not available
358,Liberia,2015-04-11, Total,10 042,,4486
359,Liberia,2015-04-11, Total,10 042,,4486
360,Liberia,2015-04-11, Probable,1879,,Not available
361,Liberia,2015-04-11, Confirmed,3151,,Not available
362,Liberia,2015-04-11, Total,10 042,0,4486
363,Liberia,2015-04-11, Suspected,5012,,Not available
364,Liberia,2015-04-11, Probable,1879,,Not available
365,Liberia,2015-04-11, Suspected,5012,,Not available
366,Liberia,2015-04-11, Suspected,5012,Not reported.,Data not available.
367,Liberia,2015-04-11, Total,10 042,,4486
368,Liberia,2015-04-11, Suspected,5012,,Not available
369,Liberia,2015-04-11, Probable,1879,,Not available
370,Liberia,2015-04-11, Probable,1879,,Not available
371,Liberia,2015-04-11, Confirmed,3151,,Not available
372,Liberia,2015-04-11, Confirmed,3151,0,Data not available.
373,Liberia,2015-04-11, Probable,1879,Not reported.,Data not available.
374,Liberia,2015-04-11, Total,10 042,,4486
375,Liberia,2015-04-11, Confirmed,3151,,Not available
376,Liberia,2015-04-19, Total,10 212,,4573
377,Liberia,2015-04-19, Probable,1879,,Not available
378,Liberia,2015-04-19, Suspected,5182,,Not available
379,Liberia,2015-04-19, Total,10 212,,4573
380,Liberia,2015-04-19, Confirmed,3151,,Not available
381,Liberia,2015-04-19, Probable,1879,,Not available
382,Liberia,2015-04-19, Suspected,5182,,Not available
383,Liberia,2015-04-19, Total,10 212,,4573
384,Liberia,2015-04-19, Confirmed,3151,,Not available
385,Liberia,2015-04-19, Suspected,5182,,Not available
386,Liberia,2015-04-19, Confirmed,3151,0,Data not available.
387,Liberia,2015-04-19, Suspected,5182,Not reported.,Data not available.
388,Liberia,2015-04-19, Probable,1879,Not reported.,Data not available.
389,Liberia,2015-04-19, Probable,1879,,Not available
390,Liberia,2015-04-19, Total,10 212,0,4573
391,Liberia,2015-04-19, Confirmed,3151,,Not available
392,Liberia,2015-04-23, Suspected,5292,,Not available
393,Liberia,2015-04-23, Total,10 322,,4608
394,Liberia,2015-04-23, Probable,1879,,Not available
395,Liberia,2015-04-23, Confirmed,3151,,Not available
396,Liberia,2015-04-23, Confirmed,3151,,Not available
397,Liberia,2015-04-23, Total,10 322,,4608
398,Liberia,2015-04-23, Probable,1879,,Not available
399,Liberia,2015-04-23, Confirmed,3151,0,Data not available.
400,Liberia,2015-04-23, Probable,1879,Not reported.,Data not available.
401,Liberia,2015-04-23, Suspected,5292,,Not available
402,Liberia,2015-04-23, Total,10 322,,4608
403,Liberia,2015-04-23, Probable,1879,,Not available
404,Liberia,2015-04-23, Suspected,5292,Not reported.,Data not available.
405,Liberia,2015-04-23, Suspected,5292,,Not available
406,Liberia,2015-04-23, Total,10 322,,4608
407,Liberia,2015-04-23, Confirmed,3151,,Not available
408,Liberia,2015-04-23, Probable,1879,,Not available
409,Liberia,2015-04-23, Total,10 322,0,4608
410,Liberia,2015-04-23, Suspected,5292,,Not available
411,Liberia,2015-04-23, Confirmed,3151,,Not available
412,Liberia,2015-04-30, Suspected,5477,,Not available
413,Liberia,2015-04-30, Total,10 507,,4691
414,Liberia,2015-04-30, Confirmed,3151,,Not available
415,Liberia,2015-04-30, Probable,1879,,Not available
416,Liberia,2015-05-03, Suspected,5534,,Not available
417,Liberia,2015-05-03, Total,10 564,,4716
418,Liberia,2015-05-03, Total,10 564,0,4716
419,Liberia,2015-05-03, Suspected,5534,Not reported.,Data not available.
420,Liberia,2015-05-03, Probable,1879,Not reported.,Data not available.
421,Liberia,2015-05-03, Confirmed,3151,0,Data not available.
422,Liberia,2015-05-03, Probable,1879,,Not available
423,Liberia,2015-05-03, Confirmed,3151,,Not available
424,Liberia,2015-05-03, Total,10 564,,4716
425,Liberia,2015-05-03, Probable,1879,,Not available
426,Liberia,2015-05-03, Suspected,5534,,Not available
427,Liberia,2015-05-03, Confirmed,3151,,Not available
428,Liberia,2015-05-05, Confirmed,3151,,Not available
429,Liberia,2015-05-05, Probable,1879,,Not available
430,Liberia,2015-05-05, Suspected,5574,,Not available
431,Liberia,2015-05-05, Total,10 604,,4769
432,Liberia,2015-05-05, Total,10 604,,4769
433,Liberia,2015-05-05, Suspected,5574,,Not available
434,Liberia,2015-05-05, Probable,1879,,Not available
435,Liberia,2015-05-05, Suspected,5574,,Not available
436,Liberia,2015-05-05, Total,10 604,,4769
437,Liberia,2015-05-05, Confirmed,3151,0,Data not available.
438,Liberia,2015-05-05, Total,10 604,,4769
439,Liberia,2015-05-05, Total,10 604,0,4769
440,Liberia,2015-05-05, Suspected,5574,Not reported.,Data not available.
441,Liberia,2015-05-05, Confirmed,3151,,Not available
442,Liberia,2015-05-05, Probable,1879,,Not available
443,Liberia,2015-05-05, Probable,1879,Not reported.,Data not available.
444,Liberia,2015-05-05, Suspected,5574,,Not available
445,Liberia,2015-05-05, Confirmed,3151,,Not available
446,Liberia,2015-05-05, Confirmed,3151,,Not available
447,Liberia,2015-05-05, Probable,1879,,Not available
448,Liberia,2015-05-09, Confirmed,3151,-,Data not available.
449,Liberia,2015-05-09, Confirmed,3151,,Not available
450,Liberia,2015-05-09, Suspected,5636,,Not available
451,Liberia,2015-05-09, Probable,1879,,Not available
452,Liberia,2015-05-09, Suspected,5636,,Not available
453,Liberia,2015-05-09, Total,10 666,,4806
454,Liberia,2015-05-09, Suspected,5636,,Not available
455,Liberia,2015-05-09, Total,10 666,,4806
456,Liberia,2015-05-09, Suspected,5636,Not reported.,Data not available.
457,Liberia,2015-05-09, Suspected,5636,,Not available
458,Liberia,2015-05-09, Confirmed,3151,,Not available
459,Liberia,2015-05-09, Total,10 666,-,4806
460,Liberia,2015-05-09, Confirmed,3151,-,Data not available.
461,Liberia,2015-05-09, Probable,1879,-,Data not available.
462,Liberia,2015-05-09, Suspected,5636,-,Data not available.
463,Liberia,2015-05-09, Total,10 666,-,4806
464,Liberia,2015-05-09, Confirmed,3151,,Not available
465,Liberia,2015-05-09, Probable,1879,,Not available
466,Liberia,2015-05-09, Suspected,5636,,Not available
467,Liberia,2015-05-09, Total,10 666,,4806
468,Liberia,2015-05-09, Confirmed,3151,,Not available
469,Liberia,2015-05-09, Probable,1879,,Not available
470,Liberia,2015-05-09, Suspected,5636,,Not available
471,Liberia,2015-05-09, Total,10 666,,4806
472,Liberia,2015-05-09, Total,10 666,-,4806
473,Liberia,2015-05-09, Suspected,5636,-,Data not available.
474,Liberia,2015-05-09, Probable,1879,-,Data not available.
475,Liberia,2015-05-09, Confirmed,3151,-,Data not available.
476,Liberia,2015-05-09, Probable,1879,,Not available
477,Liberia,2015-05-09, Suspected,5636,Not reported.,Data not available.
478,Liberia,2015-05-09, Probable,1879,Not reported.,Data not available.
479,Liberia,2015-05-09, Confirmed,3151,0,Data not available.
480,Liberia,2015-05-09, Confirmed,3151,,Not available
481,Liberia,2015-05-09, Probable,1879,,Not available
482,Liberia,2015-05-09, Probable,1879,,Not available
483,Liberia,2015-05-09, Total,10 666,,4806
484,Liberia,2015-05-09, Confirmed,3151,,Not available
485,Liberia,2015-05-09, Confirmed,3151,-,Data not available.
486,Liberia,2015-05-09, Suspected,5636,,Not available
487,Liberia,2015-05-09, Confirmed,3151,,Not available
488,Liberia,2015-05-09, Probable,1879,-,Data not available.
489,Liberia,2015-05-09, Confirmed,3151,-,Data not available.
490,Liberia,2015-05-09, Confirmed,3151,-,Data not available.
491,Liberia,2015-05-09, Probable,1879,-,Data not available.
492,Liberia,2015-05-09, Suspected,5636,-,Data not available.
493,Liberia,2015-05-09, Total,10 666,-,4806
494,Liberia,2015-05-09, Confirmed,3151,,Not available
495,Liberia,2015-05-09, Probable,1879,,Not available
496,Liberia,2015-05-09, Suspected,5636,,Not available
497,Liberia,2015-05-09, Total,10 666,,4806
498,Liberia,2015-05-09, Probable,1879,,Not available
499,Liberia,2015-05-09, Suspected,5636,,Not available
500,Liberia,2015-05-09, Total,10 666,,4806
501,Liberia,2015-05-09, Confirmed,3151,,Not available
502,Liberia,2015-05-09, Probable,1879,,Not available
503,Liberia,2015-05-09, Suspected,5636,,Not available
504,Liberia,2015-05-09, Total,10 666,,4806
505,Liberia,2015-05-09, Confirmed,3151,,Not available
506,Liberia,2015-05-09, Suspected,5636,,Not available
507,Liberia,2015-05-09, Total,10 666,,4806
508,Liberia,2015-05-09, Confirmed,3151,0,Data not available.
509,Liberia,2015-05-09, Total,10 666,0,4806
510,Liberia,2015-05-09, Total,10 666,,4806
